Entity,Code,Year,Fossil fuels (TWh)
Denmark,DNK,1995,23.798.395
Ecuador,ECU,1995,79.558.525
Egypt,EGY,1995,40.472.595
Estonia,EST,1995,62.146.576
Finland,FIN,1995,21.885.355
France,FRA,1995,1.585.171
Germany,DEU,1995,34.624.424
Greece,GRC,1995,3.062.551
Hong Kong,HKG,1995,18.068.062
Hungary,HUN,1995,24.630.728
Iceland,ISL,1995,9.134.002
India,IND,1995,27.137.434
Indonesia,IDN,1995,8.394.823
Iran,IRN,1995,10.333.331
Iraq,IRQ,1995,33.024.353
Ireland,IRL,1995,13.003.976
Israel,ISR,1995,19.513.654
Italy,ITA,1995,18.141.665
Japan,JPN,1995,48.764.834
Kazakhstan,KAZ,1995,5.738.556
Kuwait,KWT,1995,15.054.976
Latvia,LVA,1995,35.883.533
Lithuania,LTU,1995,6.394.493
Luxembourg,LUX,1995,3.361.216
Malaysia,MYS,1995,37.956.464
Mexico,MEX,1995,12.837.518
Morocco,MAR,1995,10.064.512
Netherlands,NLD,1995,95.911.365
New Zealand,NZL,1995,12.419.177
North Macedonia,MKD,1995,26.282.587
Norway,NOR,1995,14.850.519
Oman,OMN,1995,6.589.966
Pakistan,PAK,1995,34.193.817
Peru,PER,1995,9.517.052
Philippines,PHL,1995,21.631.464
Poland,POL,1995,11.029.259
Portugal,PRT,1995,21.521.643
Qatar,QAT,1995,1.559.913
Romania,ROU,1995,50.544.162
Russia,RUS,1995,6.898.247
Saudi Arabia,SAU,1995,11.300.059
Singapore,SGP,1995,38.815.878
Slovakia,SVK,1995,16.286.652
Slovenia,SVN,1995,51.321.053
South Africa,ZAF,1995,10.838.854
South Korea,KOR,1995,15.577.795
Spain,ESP,1995,98.964.343
Sri Lanka,LKA,1995,27.390.072
Sweden,SWE,1995,24.480.795
Switzerland,CHE,1995,16.799.397
Taiwan,TWN,1995,66.786.597
Thailand,THA,1995,5.953.982
Trinidad and Tobago,TTO,1995,8.886.662
Turkey,TUR,1995,6.045.279
Turkmenistan,TKM,1995,10.736.821
Ukraine,UKR,1995,16.202.141
United Arab Emirates,ARE,1995,48.487.097
United Kingdom,GBR,1995,22.799.531
United States,USA,1995,21170.41
Uzbekistan,UZB,1995,4.900.908
Venezuela,VEN,1995,5.752.601
Vietnam,VNM,1995,95.861.855
World,OWID_WRL,1995,86510.35
Algeria,DZA,1996,3.095.255
Argentina,ARG,1996,5.687.478
Australia,AUS,1996,11.378.003
